Id Sensore,Data-Ora,Measured,Reanalysis
10377,2010/01/01 00:00,4,3.57
10377,2010/01/01 01:00,4,2.35
10377,2010/01/01 02:00,4.3,2.81
10377,2010/01/01 03:00,3.9,2.66
10377,2010/01/01 04:00,4.3,2.34
10377,2010/01/01 05:00,4.7,2.41
10377,2010/01/01 06:00,4.6,2.39
10377,2010/01/01 07:00,4.7,2.41
10377,2010/01/01 08:00,4.7,2.79
10377,2010/01/01 09:00,4.4,4.05
10377,2010/01/01 10:00,5.3,4.44
10377,2010/01/01 11:00,5.7,4.72
10377,2010/01/01 12:00,6.5,4.46
10377,2010/01/01 13:00,7.1,4.54
10377,2010/01/01 14:00,7.9,3.23
10377,2010/01/01 15:00,8.2,2.93
10377,2010/01/01 16:00,7.7,3.01
10377,2010/01/01 17:00,6.3,2.95
10377,2010/01/01 18:00,5.4,3.15
10377,2010/01/01 19:00,5.3,3.34
10377,2010/01/01 20:00,5.1,3.73
10377,2010/01/01 21:00,5,4.18
10377,2010/01/01 22:00,4.4,4.68
10377,2010/01/01 23:00,4.4,4.76
10377,2010/01/02 00:00,4.5,4.59
10377,2010/01/02 01:00,4.4,4.43
10377,2010/01/02 02:00,4.4,4.17
10377,2010/01/02 03:00,4.6,3.75
10377,2010/01/02 04:00,5.1,3.34
10377,2010/01/02 05:00,5.4,2.93
10377,2010/01/02 06:00,6.7,2.29
10377,2010/01/02 07:00,7.9,1.24
10377,2010/01/02 08:00,8.9,0.585
10377,2010/01/02 09:00,8.9,0.412
10377,2010/01/02 10:00,8.8,-0.28
10377,2010/01/02 11:00,8.5,-0.848
10377,2010/01/02 12:00,8.6,-0.977
10377,2010/01/02 13:00,8.4,-1.54
10377,2010/01/02 14:00,8.3,-2.12
10377,2010/01/02 15:00,7.9,-2.83
10377,2010/01/02 16:00,6.9,-3.2
10377,2010/01/02 17:00,5.5,-3.21
10377,2010/01/02 18:00,4.6,-3.33
10377,2010/01/02 19:00,4.1,-3.1
10377,2010/01/02 20:00,4.1,-3.91
10377,2010/01/02 21:00,3.7,-4.1
10377,2010/01/02 22:00,3.2,-4.03
10377,2010/01/02 23:00,2.9,-3.97
10377,2010/01/03 00:00,2.7,-3.81
10377,2010/01/03 01:00,1.3,-3.74
10377,2010/01/03 02:00,1.7,-3.73
10377,2010/01/03 03:00,1.6,-3.66
10377,2010/01/03 04:00,1.6,-3.71
10377,2010/01/03 05:00,1.8,-3.41
10377,2010/01/03 06:00,1.6,-3.51
10377,2010/01/03 07:00,1.4,-3.47
10377,2010/01/03 08:00,0.5,-2.94
10377,2010/01/03 09:00,0.2,-2.47
10377,2010/01/03 10:00,0.8,-1.78
10377,2010/01/03 11:00,2.1,-1.1
10377,2010/01/03 12:00,2.7,-0.874
10377,2010/01/03 13:00,2.9,-1.14
10377,2010/01/03 14:00,3.3,-1.78
10377,2010/01/03 15:00,3.2,-2.48
10377,2010/01/03 16:00,3,-3.02
10377,2010/01/03 17:00,1.9,-3.13
10377,2010/01/03 18:00,0.9,-3.22
10377,2010/01/03 19:00,1,-3.07
10377,2010/01/03 20:00,1,-3.03
10377,2010/01/03 21:00,0.5,-3.29
10377,2010/01/03 22:00,0.1,-3.62
10377,2010/01/03 23:00,-0.2,-3.98
10377,2010/01/04 00:00,-0.5,-4.02
10377,2010/01/04 01:00,-1.3,-3.98
